freq,voltage,phase
2.17270117886371e+04,-1.54986896728313e-01,-1.12917578554926e+01
2.17770977235312e+04,-1.55657232572037e-01,-1.13172465950352e+01
2.18272991184296e+04,-1.56330559538900e-01,-1.13427904398192e+01
2.18776162394951e+04,-1.57006890514250e-01,-1.13683894926918e+01
2.19280493535041e+04,-1.57686238434791e-01,-1.13940438565819e+01
2.19785987278478e+04,-1.58368616288816e-01,-1.14197536344999e+01
2.20292646305342e+04,-1.59054037116306e-01,-1.14455189295366e+01
2.20800473301886e+04,-1.59742514009160e-01,-1.14713398448628e+01
2.21309470960560e+04,-1.60434060111321e-01,-1.14972164837281e+01
2.21819641980018e+04,-1.61128688618948e-01,-1.15231489494603e+01
2.22330989065136e+04,-1.61826412780603e-01,-1.15491373454650e+01
2.22843514927026e+04,-1.62527245897426e-01,-1.15751817752240e+01
2.23357222283049e+04,-1.63231201323283e-01,-1.16012823422954e+01
2.23872113856830e+04,-1.63938292464936e-01,-1.16274391503120e+01
2.24388192378272e+04,-1.64648532782228e-01,-1.16536523029811e+01
2.24905460583574e+04,-1.65361935788248e-01,-1.16799219040834e+01
2.25423921215239e+04,-1.66078515049490e-01,-1.17062480574721e+01
2.25943577022093e+04,-1.66798284186039e-01,-1.17326308670723e+01
2.26464430759302e+04,-1.67521256871730e-01,-1.17590704368800e+01
2.26986485188378e+04,-1.68247446834341e-01,-1.17855668709614e+01
2.27509743077203e+04,-1.68976867855719e-01,-1.18121202734516e+01
2.28034207200037e+04,-1.69709533771988e-01,-1.18387307485546e+01
2.28559880337539e+04,-1.70445458473724e-01,-1.18653984005416e+01
2.29086765276773e+04,-1.71184655906096e-01,-1.18921233337503e+01
2.29614864811232e+04,-1.71927140069058e-01,-1.19189056525846e+01
2.30144181740846e+04,-1.72672925017524e-01,-1.19457454615130e+01
2.30674718872002e+04,-1.73422024861521e-01,-1.19726428650678e+01
2.31206479017555e+04,-1.74174453766385e-01,-1.19995979678448e+01
2.31739464996843e+04,-1.74930225952909e-01,-1.20266108745015e+01
2.32273679635706e+04,-1.75689355697529e-01,-1.20536816897571e+01
2.32809125766496e+04,-1.76451857332489e-01,-1.20808105183906e+01
2.33345806228096e+04,-1.77217745246040e-01,-1.21079974652409e+01
2.33883723865931e+04,-1.77987033882556e-01,-1.21352426352048e+01
2.34422881531988e+04,-1.78759737742774e-01,-1.21625461332370e+01
2.34963282084826e+04,-1.79535871383895e-01,-1.21899080643486e+01
2.35504928389596e+04,-1.80315449419836e-01,-1.22173285336060e+01
2.36047823318053e+04,-1.81098486521334e-01,-1.22448076461306e+01
2.36591969748571e+04,-1.81884997416153e-01,-1.22723455070971e+01
2.37137370566161e+04,-1.82674996889266e-01,-1.22999422217329e+01
2.37684028662483e+04,-1.83468499782985e-01,-1.23275978953170e+01
2.38231946935864e+04,-1.84265520997185e-01,-1.23553126331790e+01
2.38781128291313e+04,-1.85066075489442e-01,-1.23830865406981e+01
2.39331575640534e+04,-1.85870178275228e-01,-1.24109197233019e+01
2.39883291901944e+04,-1.86677844428065e-01,-1.24388122864660e+01
2.40436280000688e+04,-1.87489089079719e-01,-1.24667643357119e+01
2.40990542868655e+04,-1.88303927420336e-01,-1.24947759766070e+01
2.41546083444489e+04,-1.89122374698681e-01,-1.25228473147628e+01
2.42102904673613e+04,-1.89944446222245e-01,-1.25509784558344e+01
2.42661009508237e+04,-1.90770157357456e-01,-1.25791695055189e+01
2.43220400907377e+04,-1.91599523529843e-01,-1.26074205695549e+01
2.43781081836870e+04,-1.92432560224200e-01,-1.26357317537207e+01
2.44343055269392e+04,-1.93269282984779e-01,-1.26641031638338e+01
2.44906324184469e+04,-1.94109707415458e-01,-1.26925349057497e+01
2.45470891568498e+04,-1.94953849179886e-01,-1.27210270853605e+01
2.46036760414758e+04,-1.95801724001705e-01,-1.27495798085941e+01
2.46603933723429e+04,-1.96653347664692e-01,-1.27781931814127e+01
2.47172414501608e+04,-1.97508736012932e-01,-1.28068673098122e+01
2.47742205763323e+04,-1.98367904951009e-01,-1.28356022998205e+01
2.48313310529552e+04,-1.99230870444172e-01,-1.28643982574967e+01
2.48885731828234e+04,-2.00097648518490e-01,-1.28932552889297e+01
2.49459472694290e+04,-2.00968255261058e-01,-1.29221735002372e+01
